full_text,sentimen,cleaned_text,cleanedNormalized_text,tokenisasiSastrawi,tokens_no_stopwords,tokens_stemmed,final_preprocessed_text
Menikah adalah hal yang baik. Konsekuensinya adalah harus setia satu sama lain dan penuh kasih sayang. Kalau kesetiaan dan kasih sayang itu tidak terpenuhi maka terjadilah perselingkuhan dan kdrt.,positif,menikah adalah hal yang baik konsekuensinya adalah harus setia satu sama lain dan penuh kasih sayang kalau kesetiaan dan kasih sayang itu tidak terpenuhi maka terjadilah perselingkuhan dan kdrt,menikah adalah hal yang baik konsekuensinya adalah harus setia satu sama lain dan penuh kasih sayang kalau kesetiaan dan kasih sayang itu tidak terpenuhi maka terjadilah perselingkuhan dan kdrt,"['menikah', 'adalah', 'hal', 'yang', 'baik', 'konsekuensinya', 'adalah', 'harus', 'setia', 'satu', 'sama', 'lain', 'dan', 'penuh', 'kasih', 'sayang', 'kalau', 'kesetiaan', 'dan', 'kasih', 'sayang', 'itu', 'tidak', 'terpenuhi', 'maka', 'terjadilah', 'perselingkuhan', 'dan', 'kdrt']","['menikah', 'baik', 'konsekuensinya', 'setia', 'satu', 'sama', 'penuh', 'kasih', 'sayang', 'kalau', 'kesetiaan', 'kasih', 'sayang', 'tidak', 'terpenuhi', 'terjadilah', 'perselingkuhan', 'kdrt']","['nikah', 'baik', 'konsekuensi', 'setia', 'satu', 'sama', 'penuh', 'kasih', 'sayang', 'setia', 'kasih', 'sayang', 'tidak', 'penuh', 'selingkuh', 'kdrt']",nikah baik konsekuensi setia satu sama penuh kasih sayang setia kasih sayang tidak penuh selingkuh kdrt
@SitiMelyanaaa pelaku kdrt ini keknya bisa dipercaya kalo dianya udh masuk penjara deh kak,positif,pelaku kdrt ini keknya bisa dipercaya kalo dianya udh masuk penjara deh kak,pelaku kdrt ini sepertinya bisa dipercaya kalau dianya sudah masuk penjara kak,"['pelaku', 'kdrt', 'ini', 'sepertinya', 'bisa', 'dipercaya', 'kalau', 'dianya', 'sudah', 'masuk', 'penjara', 'kak']","['pelaku', 'kdrt', 'sepertinya', 'dipercaya', 'kalau', 'dianya', 'masuk', 'penjara', 'kak']","['laku', 'kdrt', 'seperti', 'percaya', 'dia', 'masuk', 'penjara']",laku kdrt seperti percaya dia masuk penjara
@ngemtot @iamoneofwan Solusi tolol! Pantesan lo menormalisasi KDRT,negatif,solusi tolol pantesan lo menormalisasi kdrt,solusi tolol pantas kamu menormalisasi kdrt,"['solusi', 'tolol', 'pantas', 'kamu', 'menormalisasi', 'kdrt']","['solusi', 'tolol', 'pantas', 'kamu', 'menormalisasi', 'kdrt']","['solusi', 'tolol', 'pantas', 'normalisasi', 'kdrt']",solusi tolol pantas normalisasi kdrt
@ngemtot Sewajarnya itu ambigu loh bocil normalisasi KDRT,negatif,sewajarnya itu ambigu loh bocil normalisasi kdrt,sewajarnya itu ambigu bocil normalisasi kdrt,"['sewajarnya', 'itu', 'ambigu', 'bocil', 'normalisasi', 'kdrt']","['sewajarnya', 'ambigu', 'bocil', 'normalisasi', 'kdrt']","['wajar', 'ambigu', 'bocil', 'normalisasi', 'kdrt']",wajar ambigu bocil normalisasi kdrt
Kenapa sekarang banyak wanita independen? Karena jaman ortu kita wanita itu ga dihargai karena tidak bekerja/ banyak kdrt/perselingkuhan/dll. Oleh karena itu ibu cenderung menekan anak perempuannya untuk menjadi mandiri dan independen agar nasibnya tidak seperti dia.,negatif,kenapa sekarang banyak wanita independen karena jaman ortu kita wanita itu ga dihargai karena tidak bekerja banyak kdrtperselingkuhandll oleh karena itu ibu cenderung menekan anak perempuannya untuk menjadi mandiri dan independen agar nasibnya tidak seperti dia,mengapa sekarang banyak wanita independen karena zaman orang tua kita wanita itu tidak dihargai karena tidak bekerja banyak kdrtperselingkuhandll oleh karena itu ibu cenderung menekan anak perempuannya untuk menjadi mandiri dan independen agar nasibnya tidak seperti dia,"['mengapa', 'sekarang', 'banyak', 'wanita', 'independen', 'karena', 'zaman', 'orang', 'tua', 'kita', 'wanita', 'itu', 'tidak', 'dihargai', 'karena', 'tidak', 'bekerja', 'banyak', 'kdrtperselingkuhandll', 'oleh', 'karena', 'itu', 'ibu', 'cenderung', 'menekan', 'anak', 'perempuannya', 'untuk', 'menjadi', 'mandiri', 'dan', 'independen', 'agar', 'nasibnya', 'tidak', 'seperti', 'dia']","['sekarang', 'banyak', 'wanita', 'independen', 'zaman', 'orang', 'tua', 'wanita', 'tidak', 'dihargai', 'tidak', 'bekerja', 'banyak', 'kdrtperselingkuhandll', 'ibu', 'cenderung', 'menekan', 'anak', 'perempuannya', 'menjadi', 'mandiri', 'independen', 'nasibnya', 'tidak']","['sekarang', 'banyak', 'wanita', 'independen', 'zaman', 'orang', 'tua', 'wanita', 'tidak', 'harga', 'tidak', 'kerja', 'banyak', 'kdrtperselingkuhandll', 'ibu', 'cenderung', 'tekan', 'anak', 'perempuan', 'mandiri', 'independen', 'nasib', 'tidak']",sekarang banyak wanita independen zaman orang tua wanita tidak harga tidak kerja banyak kdrtperselingkuhandll ibu cenderung tekan anak perempuan mandiri independen nasib tidak
 @belindch @Naufalfauzarr @ileristi 1. Nah berarti bener dugaan UAH 2. Sabar mbak ketidaktahuan dan bukan pilihan mbaknya anggep ajah ujian. Menurut saya selama tidak selingkuh dan KDRT ditambah judol dan narkoba (kasus skrng) harusnya smw bisa dibicarain,positif,nah berarti bener dugaan uah sabar mbak ketidaktahuan dan bukan pilihan mbaknya anggep ajah ujian menurut saya selama tidak selingkuh dan kdrt ditambah judol dan narkoba kasus skrng harusnya smw bisa dibicarain,berarti benar dugaan uah sabar mbak ketidaktahuan dan bukan pilihan mbaknya anggap saja ujian menurut saya selama tidak selingkuh dan kdrt ditambah judol dan narkoba kasus sekarang harusnya semua bisa dibicarain,"['berarti', 'benar', 'dugaan', 'uah', 'sabar', 'mbak', 'ketidaktahuan', 'dan', 'bukan', 'pilihan', 'mbaknya', 'anggap', 'saja', 'ujian', 'menurut', 'saya', 'selama', 'tidak', 'selingkuh', 'dan', 'kdrt', 'ditambah', 'judol', 'dan', 'narkoba', 'kasus', 'sekarang', 'harusnya', 'semua', 'bisa', 'dibicarain']","['berarti', 'benar', 'dugaan', 'uah', 'sabar', 'mbak', 'ketidaktahuan', 'bukan', 'pilihan', 'mbaknya', 'anggap', 'ujian', 'selama', 'tidak', 'selingkuh', 'kdrt', 'ditambah', 'judol', 'narkoba', 'kasus', 'sekarang', 'harusnya', 'semua', 'dibicarain']","['arti', 'benar', 'duga', 'uah', 'sabar', 'mbak', 'ketidaktahuan', 'bukan', 'pilih', 'mbak', 'anggap', 'uji', 'lama', 'tidak', 'selingkuh', 'kdrt', 'tambah', 'judol', 'narkoba', 'kasus', 'sekarang', 'harus', 'semua', 'dibicarain']",arti benar duga uah sabar mbak ketidaktahuan bukan pilih mbak anggap uji lama tidak selingkuh kdrt tambah judol narkoba kasus sekarang harus semua dibicarain
Saya tidak diam saja jika ada tetangga mengalami kekerasan dalam rumah tangga suaminya bahkan saya pukul sampai saya hampir dilaporkan ke polisi,negatif,saya tidak diam saja jika ada tetangga mengalami kekerasan dalam rumah tangga suaminya bahkan saya pukul sampai saya hampir dilaporkan ke polisi,saya tidak diam saja jika ada tetangga mengalami kekerasan dalam rumah tangga suaminya bahkan saya pukul sampai saya hampir dilaporkan ke polisi,"['saya', 'tidak', 'diam', 'saja', 'jika', 'ada', 'tetangga', 'mengalami', 'kekerasan', 'dalam', 'rumah', 'tangga', 'suaminya', 'bahkan', 'saya', 'pukul', 'sampai', 'saya', 'hampir', 'dilaporkan', 'ke', 'polisi']","['tidak', 'diam', 'tetangga', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'suaminya', 'bahkan', 'pukul', 'hampir', 'dilaporkan', 'polisi']","['tidak', 'diam', 'tetangga', 'alami', 'keras', 'rumah', 'tangga', 'suami', 'bahkan', 'pukul', 'hampir', 'lapor', 'polisi']",tidak diam tetangga alami keras rumah tangga suami bahkan pukul hampir lapor polisi
anak-anak korban kdrt tuh antara mau childfree karena gamau keturunannya ngerasain hal yang dulu dialamin atau mau punya anak yang bakal disayang banget biar gak ngerasain yang dulu dialamin,positif,anak anak korban kdrt tuh antara mau childfree karena gamau keturunannya ngerasain hal yang dulu dialamin atau mau punya anak yang bakal disayang banget biar gak ngerasain yang dulu dialamin,anak anak korban kdrt antara mau tidak ingin memiliki anak karena tidak mau keturunannya merasakan hal yang dulu dialamin atau mau punya anak yang akan disayang banget agar tidak merasakan yang dulu dialamin,"['anak', 'anak', 'korban', 'kdrt', 'antara', 'mau', 'tidak', 'ingin', 'memiliki', 'anak', 'karena', 'tidak', 'mau', 'keturunannya', 'merasakan', 'hal', 'yang', 'dulu', 'dialamin', 'atau', 'mau', 'punya', 'anak', 'yang', 'akan', 'disayang', 'banget', 'agar', 'tidak', 'merasakan', 'yang', 'dulu', 'dialamin']","['anak', 'anak', 'korban', 'kdrt', 'mau', 'tidak', 'memiliki', 'anak', 'tidak', 'mau', 'keturunannya', 'merasakan', 'dulu', 'dialamin', 'mau', 'punya', 'anak', 'disayang', 'banget', 'tidak', 'merasakan', 'dulu', 'dialamin']","['anak', 'anak', 'korban', 'kdrt', 'tidak', 'milik', 'anak', 'tidak', 'turun', 'rasa', 'dulu', 'alamin', 'punya', 'anak', 'sayang', 'banget', 'tidak', 'rasa', 'dulu', 'alamin']",anak anak korban kdrt tidak milik anak tidak turun rasa dulu alamin punya anak sayang banget tidak rasa dulu alamin
@xosarangeunmoon @salshaindr Ini mah tar kalo dah rumah tangga malah cewenya yang kdrt lakinya,negatif,ini mah tar kalo dah rumah tangga malah cewenya yang kdrt lakinya,ini nanti kalau sudah rumah tangga cewek yang kdrt laki,"['ini', 'nanti', 'kalau', 'sudah', 'rumah', 'tangga', 'cewek', 'yang', 'kdrt', 'laki']","['kalau', 'rumah', 'tangga', 'cewek', 'kdrt', 'laki']","['rumah', 'tangga', 'cewek', 'kdrt', 'laki']",rumah tangga cewek kdrt laki
ini demonstrasi apa ya katanya ada pejabat papua yang memukul istrinya hentikan kekerasan jangan memukul perempuan itu makhluk yang lemah,negatif,ini demonstrasi apa ya katanya ada pejabat papua yang memukul istrinya hentikan kekerasan jangan memukul perempuan itu makhluk yang lemah,ini demonstrasi apa ya katanya ada pejabat papua yang memukul istrinya hentikan kekerasan jangan memukul perempuan itu makhluk yang lemah,"['ini', 'demonstrasi', 'apa', 'ya', 'katanya', 'ada', 'pejabat', 'papua', 'yang', 'memukul', 'istrinya', 'hentikan', 'kekerasan', 'jangan', 'memukul', 'perempuan', 'itu', 'makhluk', 'yang', 'lemah']","['demonstrasi', 'apa', 'katanya', 'pejabat', 'papua', 'memukul', 'istrinya', 'hentikan', 'kekerasan', 'jangan', 'memukul', 'perempuan', 'makhluk', 'lemah']","['demonstrasi', 'kata', 'jabat', 'papua', 'pukul', 'istri', 'henti', 'keras', 'jangan', 'pukul', 'perempuan', 'makhluk', 'lemah']",demonstrasi kata jabat papua pukul istri henti keras jangan pukul perempuan makhluk lemah
